Top 10 For 2016 

1. NYSSENATEREPUBLICANCAMPAIGNCOMMITTEE Amount: $215000.0
2. THESENATEINDEPENDENCECAMPAIGNCOMMITTEE Amount: $209600.0
3. NYSDEMOCRATICASSEMBLYCAMPAIGNCOMMITTEE Amount: $106600.0
4. THEREALESTATEBOARDOFNY Amount: $68393.73999999999
5. NYSSENATEREPUBLICANCAMPAGINCOMMITTEE Amount: $49600.0
6. THEREALESTATEBOARDOFNEWYORK Amount: $30769.53
7. SCHNEIDERMAN2018 Amount: $30000.0
8. NYSINDEPENDENCEPARTYHOUSEKEEPINGACCOUNT Amount: $25000.0
9. NEWYORKSTATECONSERVATIVEPARY Amount: $25000.0
10. JACOBSFORSTATESENATE Amount: $18000.0

Total For 2016: 1230085.77
